state,OED_overall_amim,quintile_amim,vol_adv_amim,oed_adv_amim,vol_dis_amim,oed_dis_amim,doed_amim,OED_overall_amir,quintile_amir,vol_adv_amir,oed_adv_amir,vol_dis_amir,oed_dis_amir,doed_amir,OED_overall_pnm,quintile_pnm,vol_adv_pnm,oed_adv_pnm,vol_dis_pnm,oed_dis_pnm,doed_pnm,OED_overall_pnr,quintile_pnr,vol_adv_pnr,oed_adv_pnr,vol_dis_pnr,oed_dis_pnr,doed_pnr,doed_pnr_abs
CA,-0.011762562,1,21754,-0.00580671,10171,-0.024501096,-0.018694386,0.004438001,4,22112,-0.004142891,10103,0.023218629,0.027361521,-0.01191599,1,60092,0.000618565,40215,-0.030645978,-0.031264543,0.004817779,4,62787,-0.002483582,42835,0.015520021,0.018003603,0.018003603
LA,0.015183676,4,5283,0.011023741,1813,0.027305541,0.016281801,0.008515903,4,5329,0.003227293,1800,0.024173126,0.020945832,-0.007279573,2,16717,-0.006082519,7710,-0.009875052,-0.003792534,0.004404609,4,17664,-0.00203942,8440,0.01789126,0.01993068,0.01993068
KY,0.005595434,3,7706,0.001482757,2219,0.019877671,0.018394914,0.018108414,5,7916,0.012641116,2284,0.037057245,0.02441613,0.008818581,4,22862,0.010393156,9410,0.004993085,-0.005400071,0.014531415,5,24061,0.008343521,10336,0.028936108,0.020592588,0.020592588
NM,0.003576528,3,1983,-0.000949489,492,0.021818584,0.022768073,-0.008595304,2,2018,-0.0125986,486,0.008027437,0.020626037,0.00640518,4,5098,0.00532254,2285,0.008820629,0.003498089,-0.010890471,2,5328,-0.017493789,2439,0.003534491,0.02102828,0.02102828
IL,-0.002918949,2,19437,-0.003721275,2944,0.002378202,0.006099477,0.007737206,4,19461,0.004289236,2921,0.030709112,0.026419876,-0.002546916,2,57199,-0.001211605,11558,-0.009155196,-0.007943591,0.0077226,4,60104,0.004032979,12500,0.025463479,0.0214305,0.0214305
NJ,-0.001826488,2,15687,-0.000685052,2480,-0.009046531,-0.008361479,0.010534356,5,14801,0.008022973,2425,0.025862593,0.01783962,-0.010677391,1,32751,-0.008116294,8687,-0.020333025,-0.012216731,0.015159431,5,33403,0.01044722,9204,0.032260906,0.021813686,0.021813686
WY,0.018610074,5,664,0.01155051,81,0.076481072,0.064930562,-0.012397986,2,647,-0.016812447,76,0.025183016,0.041995463,0.015046015,5,2348,0.000816932,564,0.0742834,0.073466468,-0.019761498,1,2434,-0.024293755,595,-0.001221142,0.023072613,0.023072613
NV,0.02446338,5,2914,0.02440581,491,0.024805044,0.000399234,0.011144151,5,2899,0.009912343,466,0.018807268,0.008894925,0.015630044,5,6442,0.016364528,1615,0.012700295,-0.003664234,0.010750096,5,6831,0.00596911,1773,0.029170241,0.023201131,0.023201131
NY,-0.010062946,1,20983,-0.008290857,5165,-0.017262122,-0.008971264,0.010809558,5,20638,0.005976006,5076,0.030461813,0.024485807,-0.004816199,2,57830,-0.00098332,17477,-0.01749889,-0.01651557,0.026835756,5,57775,0.021318447,17998,0.044546752,0.023228305,0.023228305
VT,0.010346651,4,1047,0.003710903,273,0.035795836,0.032084933,-0.016647999,1,1123,-0.018854803,287,-0.008013012,0.010841791,-0.008462513,2,3052,-0.010949642,1037,-0.001142633,0.009807009,-0.011551633,2,3282,-0.017772137,1130,0.006515354,0.024287491,0.024287491
MN,-0.007897884,1,4790,-0.010440824,382,0.02398871,0.034429534,-0.003997935,2,5008,-0.008845271,399,0.056842818,0.065688089,-0.010867227,1,11859,-0.01163154,1258,-0.003662141,0.0079694,-0.005746656,2,12447,-0.008148302,1351,0.016380132,0.024528434,0.024528434
MS,0.016624641,5,4352,0.015129988,1775,0.020289278,0.00515929,0.022258044,5,4406,0.015897896,1770,0.038090141,0.022192245,0.018312041,5,12757,0.012623188,8906,0.026460782,0.013837594,0.017944519,5,13451,0.007674492,9629,0.032290986,0.024616494,0.024616494
PA,-0.003583442,2,19714,-0.004099083,2541,0.00041709,0.004516173,0.006543838,4,20072,0.005542644,2634,0.01417328,0.008630636,-0.000449865,3,46799,-0.000825925,8565,0.001604923,0.002430849,-0.001483871,3,48790,-0.005615313,9243,0.020324314,0.025939628,0.025939628
SC,0.001639969,2,7118,-0.000154191,1254,0.011824046,0.011978238,0.001009871,3,7156,-0.003360017,1240,0.026228354,0.029588371,0.013307634,4,17696,0.009054396,5595,0.026759877,0.01770548,0.004545088,4,18765,-0.002335785,6083,0.025771388,0.028107173,0.028107173
NH,-0.004542641,2,3198,-0.002761517,314,-0.022682883,-0.019921366,-0.016064966,1,3155,-0.014922847,337,-0.026757499,-0.011834652,-0.009332796,2,6724,-0.011097353,765,0.006176849,0.017274201,-0.015322259,1,7045,-0.018279326,823,0.009990663,0.028269989,0.028269989
ND,0.019305161,5,1790,0.020455362,139,0.004493211,-0.015962152,-0.011696873,2,1845,-0.014948827,149,0.028570608,0.043519435,-0.000960808,3,4860,-0.002518528,454,0.015714351,0.018232879,-0.015393196,1,5128,-0.018214274,501,0.013482029,0.031696303,0.031696303
PR,0.051784971,5,1092,0.053742916,38,-0.004480169,-0.058223085,0.050388634,5,955,0.04874718,33,0.097891297,0.049144117,0.069530874,5,2296,0.070278472,39,0.025518453,-0.044760019,0.043709672,5,2039,0.042968313,40,0.081500439,0.038532126,0.038532126
